13:38:37.451742 WARN:  no .pearlrc found
13:38:37.452091 WARN:  error setting SCHED_RR --> using normal scheduler
13:38:51.753223 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:51.753932 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:51.836486 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:51.836681 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:51.919152 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:51.919355 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.001943 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.002159 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.084684 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.084880 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.167351 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.167547 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.250071 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.250283 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.332799 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.333098 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.415676 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.415880 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.498440 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.498667 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.581210 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.581415 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.663915 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.664121 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.746648 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.746854 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.829360 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.829567 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.912310 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.912518 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:52.995006 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:52.995202 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.077687 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.077876 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.160341 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.160528 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.243011 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.243205 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.325684 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.325887 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.408444 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.408673 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.491190 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.491392 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.573994 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.574206 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.656717 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.656922 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.739414 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.739621 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.822152 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.822431 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.905264 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.905482 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:53.988008 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:53.988210 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.071063 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.071266 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.153771 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.153963 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.236458 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.236654 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.319096 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.319315 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.401882 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.402093 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.484627 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.484835 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.567399 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.567629 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.650234 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.650451 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.733074 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.733282 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.815806 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.816020 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.898529 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.898734 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:54.981232 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:54.981421 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.063908 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.064114 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.146682 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.146871 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.229325 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.229510 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.312122 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.312495 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.395086 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.395325 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.477984 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.478197 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.560819 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.561022 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.643902 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.644123 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.726796 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.727004 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:38:55.810068 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:38:55.810296 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:00.366734 WARN:     Task _demo terminates while 1 other tasks wait to terminate it
13:39:08.979821 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:08.980099 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.062838 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.063043 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.145772 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.145961 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.228674 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.228867 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.311488 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.311686 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.394348 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.394527 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.477146 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.477320 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.559904 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.560075 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.642650 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.642895 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.725728 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.725986 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.808801 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.809008 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.891879 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.892072 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:09.974837 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:09.975042 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.057803 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.057997 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.140848 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.141092 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.223712 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.223923 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.306628 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.306910 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.389649 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.389863 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.472520 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.472698 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.555572 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.555794 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.638592 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.638795 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.721540 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.721756 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.804536 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.804749 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.887599 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.887819 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:10.970548 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:10.970747 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:11.053571 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:11.053760 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:11.136458 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:11.136646 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:11.219345 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:11.219533 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:11.302092 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:11.302313 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:11.384950 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:11.385168 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:11.467855 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:11.468062 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
13:39:11.550723 WARN:     Task _driveleft terminates while 1 other tasks wait to terminate it
13:39:11.550926 WARN:     Task _driveright terminates while 1 other tasks wait to terminate it
